,year,price,mileage,engine_size,Automatic,Manual,Other_Transmission,Semi-Auto,Diesel,Hybrid,Other_Fuel,Petrol
201,2017.0,19998,23690.0,2.1,0,0,0,1,1,0,0,0
202,2020.0,29950,101.0,2.0,0,0,0,1,1,0,0,0
203,2017.0,20790,22485.0,2.1,0,0,0,1,0,1,0,0
204,2013.0,9490,41921.0,1.6,0,0,0,1,0,0,0,1
205,2017.0,15690,35488.0,2.1,0,0,0,1,1,0,0,0
206,2017.0,14990,41647.0,2.1,0,1,0,0,1,0,0,0
207,2015.0,17290,24923.0,2.1,0,0,0,1,1,0,0,0
208,2018.0,19490,11810.0,2.1,0,0,0,1,1,0,0,0
209,2019.0,28990,2000.0,2.0,0,0,0,1,1,0,0,0
210,2017.0,24990,6668.0,2.1,1,0,0,0,1,0,0,0
211,2014.0,28990,19562.0,6.2,0,0,0,1,0,0,0,1
212,2016.0,16298,29201.0,1.6,0,0,0,1,1,0,0,0
213,2016.0,14698,19864.0,2.1,0,1,0,0,1,0,0,0
214,2016.0,13998,22117.0,2.0,0,1,0,0,0,0,0,1
215,2015.0,14698,43331.0,2.1,0,0,0,1,1,0,0,0
216,2014.0,10498,51929.0,2.1,0,0,0,1,1,0,0,0
217,2015.0,11998,42245.0,2.1,0,0,0,1,1,0,0,0
218,2016.0,15698,42062.0,2.0,1,0,0,0,0,0,0,1
219,2015.0,16998,43883.0,2.1,0,0,0,1,1,0,0,0
220,2016.0,17998,36587.0,2.0,0,0,0,1,0,1,0,0
221,2017.0,20998,42036.0,2.1,0,0,0,1,1,0,0,0
222,2016.0,13691,36538.0,1.6,0,0,0,1,1,0,0,0
223,2014.0,13491,56000.0,2.1,0,1,0,0,1,0,0,0
224,2017.0,21998,11986.0,2.0,0,0,0,1,0,0,0,1
225,2015.0,14500,38783.0,2.1,0,0,0,1,1,0,0,0
226,2017.0,15990,38051.0,2.1,0,0,0,1,1,0,0,0
227,2016.0,20490,10542.0,2.0,0,0,0,1,0,0,0,1
228,2018.0,20890,3033.0,1.5,0,0,0,1,0,0,0,1
229,2014.0,14490,59884.0,2.1,0,0,0,1,1,0,0,0
230,2018.0,21990,1871.0,1.5,0,0,0,1,0,0,0,1
231,2015.0,14750,32594.0,2.1,0,0,0,1,1,0,0,0
